"","from","to","weight","type"
"700",80,81,17,"sent"
"701",80,81,17,"sent"
"702",80,272,17,"sent"
"703",80,256,15,"sent"
"704",80,124,15,"sent"
"705",80,32,19,"sent"
"706",80,81,19,"sent"
"707",80,87,19,"sent"
"708",80,81,19,"sent"
"709",80,81,19,"sent"
"710",80,81,18,"sent"
"711",80,81,17,"sent"
"712",80,124,17,"sent"
"713",80,272,17,"sent"
"714",80,124,19,"sent"
"715",80,32,19,"sent"
"716",80,32,19,"sent"
"717",80,116,17,"sent"
"718",80,265,17,"sent"
"719",80,305,17,"sent"
"720",80,116,19,"sent"
"721",80,32,19,"sent"
"722",80,32,18,"sent"
"723",80,306,18,"sent"
"724",80,87,18,"sent"
"725",80,307,18,"sent"
"726",80,122,19,"sent"
"727",80,116,18,"sent"
"728",80,116,19,"sent"
"729",80,81,17,"sent"
"730",80,124,17,"sent"
"731",80,272,17,"sent"
"732",80,122,17,"sent"
"733",80,122,16,"sent"
"734",80,122,16,"sent"
"735",80,122,19,"sent"
"736",80,122,19,"sent"
"737",80,124,18,"sent"
"738",80,272,18,"sent"
"739",80,87,19,"sent"
"740",80,87,19,"sent"
"741",80,122,18,"sent"
"742",80,87,18,"sent"
"743",80,122,19,"sent"
"744",80,122,19,"sent"
"745",80,122,19,"sent"
"746",80,288,17,"sent"
"747",80,122,17,"sent"
"748",80,308,17,"sent"
"749",80,122,19,"sent"
"750",80,122,19,"sent"
"751",80,122,19,"sent"
"752",80,87,18,"sent"
"753",80,116,18,"sent"
"754",80,87,18,"sent"
"755",80,56,19,"sent"
"756",80,81,17,"sent"
"757",80,81,17,"sent"
"758",80,116,17,"sent"
"759",80,21,18,"sent"
"760",80,87,19,"sent"
"761",80,32,18,"sent"
"762",80,93,18,"sent"
"763",80,32,17,"sent"
"764",80,32,19,"sent"
"765",80,81,19,"sent"
"766",80,81,19,"sent"
"767",80,81,19,"sent"
"768",80,289,18,"sent"
"769",80,81,18,"sent"
"770",80,81,19,"sent"
"771",80,170,18,"sent"
"772",80,170,19,"sent"
"773",80,170,18,"sent"
"774",80,81,18,"sent"
"775",80,116,18,"sent"
"776",80,116,19,"sent"
"777",80,32,17,"sent"
"778",80,170,17,"sent"
"779",80,309,17,"sent"
"780",80,170,18,"sent"
"781",80,170,19,"sent"
"782",80,81,19,"sent"
"783",80,310,18,"sent"
"784",80,50,18,"sent"
"785",80,191,19,"sent"
"786",80,311,18,"sent"
"787",80,216,18,"sent"
"788",80,196,19,"sent"
"789",80,86,18,"sent"
"790",80,170,19,"sent"
"791",80,312,18,"sent"
"792",80,124,18,"sent"
"793",80,124,18,"sent"
"794",80,272,18,"sent"
"795",80,9,19,"sent"
"796",80,116,19,"sent"
"797",80,81,17,"sent"
"798",80,81,17,"sent"
"799",80,81,17,"sent"
"800",80,213,19,"sent"
"801",80,52,19,"sent"
"802",80,81,19,"sent"
"803",80,90,19,"sent"
"804",80,313,18,"sent"
"805",80,90,18,"sent"
"806",80,81,19,"sent"
"807",80,9,19,"sent"
"808",80,124,18,"sent"
"809",80,272,18,"sent"
"810",80,9,19,"sent"
"811",80,116,18,"sent"
"812",80,185,18,"sent"
"813",80,314,17,"sent"
"814",80,81,17,"sent"
"815",80,315,17,"sent"
"816",80,81,17,"sent"
"817",80,81,17,"sent"
"818",80,81,17,"sent"
"819",80,52,19,"sent"
"820",80,81,19,"sent"
"821",80,90,19,"sent"
"822",80,90,19,"sent"
"823",80,81,18,"sent"
"824",80,288,18,"sent"
"825",80,289,18,"sent"
"826",80,81,18,"sent"
"827",80,81,18,"sent"
"828",80,272,18,"sent"
